tick,type,king,knight,merc,amount,stake,p_knight,notes,trait,delta,invest,wealth_created,rv,threshold,employer,agent
7,defend_win,K-00,N-01,M-03,,12457,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-04,,,,insufficient funds,,,,,7.050000000000001,319,,
7,defend_win,K-00,N-01,M-04,,13703,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-05,,,,insufficient funds,,,,,9.8,319,,
7,defend_win,K-00,N-01,M-05,,15073,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-06,,,,insufficient funds,,,,,9.05,319,,
7,defend_win,K-00,N-01,M-06,,16580,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-07,,,,insufficient funds,,,,,9.8,319,,
7,defend_win,K-00,N-01,M-07,,18238,0.8909031788043871,knight wins (p=0.891),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,9.3,319,,
7,defend_win,K-00,N-01,M-08,,20062,0.9370266439430035,knight wins (p=0.937),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
7,defend_win,K-00,N-01,M-09,,22068,0.9370266439430035,knight wins (p=0.937),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,8.8,319,,
7,defend_win,K-00,N-01,M-10,,24275,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
7,defend_win,K-00,N-01,M-11,,26702,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
7,defend_win,K-00,N-01,M-12,,29373,0.9168273035060777,knight wins (p=0.917),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
7,defend_win,K-00,N-01,M-13,,32310,0.9370266439430035,knight wins (p=0.937),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-00,,,,insufficient funds,,,,,8.55,319,,
8,defend_win,K-00,N-01,M-00,,35541,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-01,,,,insufficient funds,,,,,9.3,319,,
8,defend_win,K-00,N-01,M-01,,39095,0.9370266439430035,knight wins (p=0.937),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-02,,,,insufficient funds,,,,,10.05,319,,
8,defend_win,K-00,N-01,M-02,,43005,0.8581489350995123,knight wins (p=0.858),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-03,,,,insufficient funds,,,,,7.800000000000001,319,,
8,defend_win,K-00,N-01,M-03,,47305,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-04,,,,insufficient funds,,,,,7.050000000000001,319,,
8,defend_win,K-00,N-01,M-04,,52036,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-05,,,,insufficient funds,,,,,8.8,319,,
8,defend_win,K-00,N-01,M-05,,57239,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-06,,,,insufficient funds,,,,,9.05,319,,
8,defend_win,K-00,N-01,M-06,,62963,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-07,,,,insufficient funds,,,,,9.8,319,,
8,defend_win,K-00,N-01,M-07,,69259,0.8909031788043871,knight wins (p=0.891),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,9.3,319,,
